,client_id,product_category,product_company,subtype,amount,date,transaction_type
34478,37,29,,Auto payment,1209,01/01/2020 00:00,Negative
65406,71,4,YouTube Music,Subscription,169,01/01/2020 00:00,Negative
82186,88,29,,Auto payment,3711,01/01/2020 00:00,Negative
83113,89,29,,Auto payment,6443,01/01/2020 00:00,Negative
131373,141,29,,Auto payment,7319,01/01/2020 00:00,Negative
162567,175,29,,Auto payment,2242,01/01/2020 00:00,Negative
207843,225,4,YouTube Music,Subscription,169,01/01/2020 00:00,Negative
272290,295,4,Google Play Music,Subscription,159,01/01/2020 00:00,Negative
293008,317,4,YouTube Music,Subscription,169,01/01/2020 00:00,Negative
310744,336,4,Yandex.Music,Subscription,199,01/01/2020 00:00,Negative
317370,342,29,,Auto payment,1053,01/01/2020 00:00,Negative
324279,351,4,Spotify,Subscription,169,01/01/2020 00:00,Negative
339014,366,29,,Auto payment,4961,01/01/2020 00:00,Negative
347908,376,4,Spotify,Subscription,169,01/01/2020 00:00,Negative
388518,419,4,Yandex.Music,Subscription,199,01/01/2020 00:00,Negative
409492,442,4,Boom,Subscription,149,01/01/2020 00:00,Negative
419805,453,4,Spotify,Subscription,169,01/01/2020 00:00,Negative
430124,463,29,,Auto payment,5656,01/01/2020 00:00,Negative
450481,485,29,,Auto payment,9541,01/01/2020 00:00,Negative
484918,522,29,,Auto payment,5990,01/01/2020 00:00,Negative
485043,523,4,Apple Music,Subscription,169,01/01/2020 00:00,Negative
515830,556,4,Spotify,Subscription,169,01/01/2020 00:00,Negative
533318,574,29,,Auto payment,9037,01/01/2020 00:00,Negative
583361,628,4,YouTube Music,Subscription,169,01/01/2020 00:00,Negative
649482,699,4,Boom,Subscription,149,01/01/2020 00:00,Negative
658264,708,29,,Auto payment,9448,01/01/2020 00:00,Negative
683078,736,4,Boom,Subscription,149,01/01/2020 00:00,Negative
713137,768,4,Google Play Music,Subscription,159,01/01/2020 00:00,Negative
779154,840,4,YouTube Music,Subscription,169,01/01/2020 00:00,Negative
795731,858,4,Boom,Subscription,149,01/01/2020 00:00,Negative
828802,893,4,Google Play Music,Subscription,159,01/01/2020 00:00,Negative
